RAISE2BB;RAISE2BB;RAISE2BB;RAISE2BB;RAISE2BB;RAISE2BB;RAISE2BB;RAISE2BB;RAISE1.8BB;RAISE2BB;RAISE2BB;RAISE1.8BB;FOLD
RAISE2BB;RAISE2BB;RAISE2BB;RAISE2BB;RAISE2BB;RAISE2BB;RAISE1.8BB;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD
RAISE2BB;RAISE2BB;RAISE2BB;RAISE2BB;RAISE2BB;RAISE1.8BB;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD
RAISE2BB;RAISE1.8BB;FOLD;RAISE2BB;RAISE2BB;RAISE2BB;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD
RAISE2BB;RAISE1.8BB;FOLD;FOLD;RAISE2BB;RAISE2BB;RAISE1.8BB;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD
FOLD;FOLD;FOLD;FOLD;FOLD;RAISE2BB;RAISE1.8BB;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD
FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;RAISE2BB;RAISE1.8BB;FOLD;FOLD;FOLD;FOLD;FOLD
FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;RAISE2BB;RAISE1.8BB;FOLD;FOLD;FOLD;FOLD
FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;RAISE2BB;FOLD;FOLD;FOLD;FOLD
FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;RAISE2BB;FOLD;FOLD;FOLD
FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;RAISE2BB;FOLD;FOLD
FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;RAISE1.8BB;FOLD
FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD;FOLD
